Sample in Buffer,Sample in Window,TRIGGER,w_noise[7:0]
1511,1511,0,51
1512,1512,0,-22
1513,1513,0,-43
1514,1514,0,44
1515,1515,0,25
1516,1516,0,-13
1517,1517,0,-88
1518,1518,0,18
1519,1519,0,-25
1520,1520,0,15
1521,1521,0,33
1522,1522,0,3
1523,1523,0,9
1524,1524,0,-43
1525,1525,0,45
1526,1526,0,-36
1527,1527,0,57
1528,1528,0,-12
1529,1529,0,-22
1530,1530,0,-43
1531,1531,0,-22
1532,1532,0,24
1533,1533,0,-16
1534,1534,0,-32
1535,1535,0,3
1536,1536,0,71
1537,1537,0,-112
1538,1538,0,34
1539,1539,0,69
1540,1540,0,-52
1541,1541,0,26
1542,1542,0,-9
1543,1543,0,-17
1544,1544,0,32
1545,1545,0,2
1546,1546,0,5
1547,1547,0,-51
1548,1548,0,26
1549,1549,0,-9
1550,1550,0,-15
1551,1551,0,36
1552,1552,0,-56
1553,1553,0,83
1554,1554,0,-24
1555,1555,0,-47
1556,1556,0,-28
1557,1557,0,76
1558,1558,0,-37
1559,1559,0,-8
1560,1560,0,50
1561,1561,0,37
1562,1562,0,-52
1563,1563,0,-38
1564,1564,0,-11
1565,1565,0,-22
1566,1566,0,22
1567,1567,0,-19
1568,1568,0,-37
1569,1569,0,-8
1570,1570,0,50
1571,1571,0,-26
1572,1572,0,13
1573,1573,0,29
1574,1574,0,-6
1575,1575,0,-10
1576,1576,0,-20
1577,1577,0,27
1578,1578,0,-72
1579,1579,0,49
1580,1580,0,-26
1581,1581,0,79
1582,1582,0,-34
1583,1583,0,-3
1584,1584,0,61
1585,1585,0,-66
1586,1586,0,-67
1587,1587,0,58
1588,1588,0,56
1589,1589,0,-15
1590,1590,0,-93
1591,1591,0,7
1592,1592,0,79
1593,1593,0,-96
1594,1594,0,3
1595,1595,0,8
1596,1596,0,17
1597,1597,0,37
1598,1598,0,11
1599,1599,0,-39
1600,1600,0,-12
1601,1601,0,41
1602,1602,0,-43
1603,1603,0,44
1604,1604,0,-37
1605,1605,0,-9
1606,1606,0,48
1607,1607,0,-32
1608,1608,0,1
1609,1609,0,-60
1610,1610,0,10
1611,1611,0,-42
1612,1612,0,45
1613,1613,0,29
1614,1614,0,-2
1615,1615,0,-1
1616,1616,0,1
1617,1617,0,69
1618,1618,0,11
1619,1619,0,-38
1620,1620,0,-11
1621,1621,0,-19
1622,1622,0,-36
1623,1623,0,60
1624,1624,0,-72
1625,1625,0,50
1626,1626,0,-26
1627,1627,0,13
1628,1628,0,-100
1629,1629,0,59
1630,1630,0,-7
1631,1631,0,-12
1632,1632,0,42
1633,1633,0,21
1634,1634,0,-19
1635,1635,0,-38
1636,1636,0,-11
1637,1637,0,-19
1638,1638,0,28
1639,1639,0,-71
1640,1640,0,53
1641,1641,0,43
1642,1642,0,-40
1643,1643,0,-15
1644,1644,0,36
1645,1645,0,-55
1646,1646,0,21
1647,1647,0,-18
1648,1648,0,31
1649,1649,0,-1
1650,1650,0,62
1651,1651,0,-3
1652,1652,0,-67
1653,1653,0,-68
1654,1654,0,-8
1655,1655,0,51
1656,1656,0,38
1657,1657,0,-50
1658,1658,0,-35
1659,1659,0,61
1660,1660,0,-67
1661,1661,0,61
1662,1662,0,-5
1663,1663,0,56
1664,1664,0,-14
1665,1665,0,-26
1666,1666,0,-51
1667,1667,0,28
1668,1668,0,-6
1669,1669,0,-9
1670,1670,0,-16
1671,1671,0,36
1672,1672,0,9
1673,1673,0,19
1674,1674,0,-26
1675,1675,0,13
1676,1676,0,-99
1677,1677,0,-3
1678,1678,0,-4
1679,1679,0,56
1680,1680,0,50
1681,1681,0,-26
1682,1682,0,-51
1683,1683,0,-35
1684,1684,0,61
1685,1685,0,-3
1686,1686,0,-5
1687,1687,0,56
1688,1688,0,-15
1689,1689,0,-27
1690,1690,0,-52
1691,1691,0,26
1692,1692,0,-11
1693,1693,0,44
1694,1694,0,-38
1695,1695,0,-9
1696,1696,0,-15
1697,1697,0,36
1698,1698,0,10
1699,1699,0,21
1700,1700,0,-21
1701,1701,0,-40
1702,1702,0,-14
1703,1703,0,-26
1704,1704,0,14
1705,1705,0,30
1706,1706,0,-3
1707,1707,0,-5
1708,1708,0,-7
1709,1709,0,-12
1710,1710,0,-23
1711,1711,0,22
1712,1712,0,46
1713,1713,0,-36
1714,1714,0,-6
1715,1715,0,55
1716,1716,0,-82
1717,1717,0,-34
1718,1718,0,60
1719,1719,0,-6
1720,1720,0,-73
1721,1721,0,49
1722,1722,0,-28
1723,1723,0,74
1724,1724,0,23
1725,1725,0,-15
1726,1726,0,-27
1727,1727,0,12
1728,1728,0,26
1729,1729,0,-9
1730,1730,0,-16
1731,1731,0,-29
1732,1732,0,7
1733,1733,0,15
1734,1734,0,-33
1735,1735,0,-1
1736,1736,0,-63
1737,1737,0,2
1738,1738,0,5
1739,1739,0,14
1740,1740,0,29
1741,1741,0,-67
1742,1742,0,61
1743,1743,0,60
1744,1744,0,-70
1745,1745,0,52
1746,1746,0,-21
1747,1747,0,-41
1748,1748,0,-16
1749,1749,0,-30
1750,1750,0,70
1751,1751,0,-49
1752,1752,0,32
1753,1753,0,0
1754,1754,0,3
1755,1755,0,8
1756,1756,0,-44
1757,1757,0,-24
1758,1758,0,82
1759,1759,0,-26
1760,1760,0,13
1761,1761,0,-102
1762,1762,0,55
1763,1763,0,-17
1764,1764,0,-31
1765,1765,0,2
1766,1766,0,69
1767,1767,0,-52
1768,1768,0,28
1769,1769,0,-69
1770,1770,0,56
1771,1771,0,52
1772,1772,0,43
1773,1773,0,-41
1774,1774,0,-16
1775,1775,0,34
1776,1776,0,-59
1777,1777,0,-51
1778,1778,0,28
1779,1779,0,-7
1780,1780,0,-11
1781,1781,0,45
1782,1782,0,-34
1783,1783,0,-3
1784,1784,0,60
1785,1785,0,-7
1786,1786,0,-13
1787,1787,0,-87
1788,1788,0,18
1789,1789,0,-26
1790,1790,0,12
1791,1791,0,25
1792,1792,0,-76
1793,1793,0,42
1794,1794,0,-44
1795,1795,0,42
1796,1796,0,23
1797,1797,0,-15
1798,1798,0,-29
1799,1799,0,72
1800,1800,0,18
1801,1801,0,-26
1802,1802,0,-51
1803,1803,0,28
1804,1804,0,-7
1805,1805,0,-13
1806,1806,0,-25
1807,1807,0,14
1808,1808,0,-36
1809,1809,0,-8
1810,1810,0,-14
1811,1811,0,-25
1812,1812,0,16
1813,1813,0,34
1814,1814,0,70
1815,1815,0,13
1816,1816,0,-35
1817,1817,0,-6
1818,1818,0,-8
1819,1819,0,-14
1820,1820,0,37
1821,1821,0,-53
1822,1822,0,89
1823,1823,0,-76
1824,1824,0,-23
1825,1825,0,21
1826,1826,0,44
1827,1827,0,-39
1828,1828,0,-11
1829,1829,0,44
1830,1830,0,-37
1831,1831,0,-7
1832,1832,0,51
1833,1833,0,-24
1834,1834,0,19
1835,1835,0,-23
1836,1836,0,-42
1837,1837,0,48
1838,1838,0,34
1839,1839,0,6
1840,1840,0,14
1841,1841,0,-32
1842,1842,0,-61
1843,1843,0,7
1844,1844,0,16
1845,1845,0,34
1846,1846,0,-59
1847,1847,0,-53
1848,1848,0,22
1849,1849,0,-19
1850,1850,0,-38
1851,1851,0,-10
1852,1852,0,-20
1853,1853,0,26
1854,1854,0,-10
1855,1855,0,46
1856,1856,0,-34
1857,1857,0,64
1858,1858,0,2
1859,1859,0,7
1860,1860,0,16
1861,1861,0,34
1862,1862,0,-57
1863,1863,0,16
1864,1864,0,-30
1865,1865,0,7
1866,1866,0,16
1867,1867,0,-29
1868,1868,0,8
1869,1869,0,17
1870,1870,0,-29
1871,1871,0,6
1872,1872,0,-50
1873,1873,0,-34
1874,1874,0,-1
1875,1875,0,0
1876,1876,0,64
1877,1877,0,4
1878,1878,0,9
1879,1879,0,-44
1880,1880,0,-24
1881,1881,0,82
1882,1882,0,-90
1883,1883,0,14
1884,1884,0,-35
1885,1885,0,61
1886,1886,0,-3
1887,1887,0,-4
1888,1888,0,-6
1889,1889,0,53
1890,1890,0,-19
1891,1891,0,-37
1892,1892,0,-8
1893,1893,0,-14
1894,1894,0,39
1895,1895,0,-47
1896,1896,0,36
1897,1897,0,11
1898,1898,0,25
1899,1899,0,-10
1900,1900,0,-17
1901,1901,0,34
1902,1902,0,7
1903,1903,0,17
1904,1904,0,-27
1905,1905,0,11
1906,1906,0,-39
1907,1907,0,-12
1908,1908,0,-23
1909,1909,0,-43
1910,1910,0,46
1911,1911,0,-35
1912,1912,0,-4
1913,1913,0,57
1914,1914,0,-11
1915,1915,0,-85
1916,1916,0,25
1917,1917,0,-11
1918,1918,0,42
1919,1919,0,-41
1920,1920,0,48
1921,1921,0,-29
1922,1922,0,-55
1923,1923,0,82
1924,1924,0,-27
1925,1925,0,12
1926,1926,0,-36
1927,1927,0,-70
1928,1928,0,55
1929,1929,0,48
1930,1930,0,32
1931,1931,0,-63
1932,1932,0,4
1933,1933,0,-55
1934,1934,0,-44
1935,1935,0,40
1936,1936,0,18
1937,1937,0,-28
1938,1938,0,10
1939,1939,0,-41
1940,1940,0,48
1941,1941,0,-28
1942,1942,0,74
1943,1943,0,22
1944,1944,0,-19
1945,1945,0,26
1946,1946,0,-74
1947,1947,0,-17
1948,1948,0,-32
1949,1949,0,1
1950,1950,0,68
1951,1951,0,9
1952,1952,0,-45
1953,1953,0,-23
1954,1954,0,20
1955,1955,0,-21
1956,1956,0,22
1957,1957,0,46
1958,1958,0,-34
1959,1959,0,-2
1960,1960,0,-67
1961,1961,0,60
1962,1962,0,-6
1963,1963,0,-11
1964,1964,0,-19
1965,1965,0,28
1966,1966,0,-7
1967,1967,0,-13
1968,1968,0,41
1969,1969,0,-44
1970,1970,0,-20
1971,1971,0,26
1972,1972,0,54
1973,1973,0,-17
1974,1974,0,32
1975,1975,0,-61
1976,1976,0,8
1977,1977,0,19
1978,1978,0,-23
1979,1979,0,20
1980,1980,0,-22
1981,1981,0,21
1982,1982,0,-20
1983,1983,0,-39
1984,1984,0,-12
1985,1985,0,-22
1986,1986,0,21
1987,1987,0,-20
1988,1988,0,25
1989,1989,0,-12
1990,1990,0,-23
1991,1991,0,19
1992,1992,0,-24
1993,1993,0,18
1994,1994,0,-26
1995,1995,0,12
1996,1996,0,25
1997,1997,0,-10
1998,1998,0,-19
1999,1999,0,-37
2000,2000,0,55
2001,2001,0,47
2002,2002,0,-95
2003,2003,0,2
2004,2004,0,6
2005,2005,0,14
2006,2006,0,32
2007,2007,0,-61
2008,2008,0,72
2009,2009,0,17
2010,2010,0,37
2011,2011,0,-53
2012,2012,0,-40
2013,2013,0,-14
2014,2014,0,40
2015,2015,0,-45
2016,2016,0,41
2017,2017,0,21
2018,2018,0,43
2019,2019,0,-39
2020,2020,0,-11
2021,2021,0,-18
2022,2022,0,-32
2023,2023,0,66
2024,2024,0,5
2025,2025,0,11
2026,2026,0,-39
2027,2027,0,-77
2028,2028,0,-24
2029,2029,0,17
2030,2030,0,36
2031,2031,0,-56
2032,2032,0,18
2033,2033,0,-26
2034,2034,0,13
2035,2035,0,-37
2036,2036,0,57
2037,2037,0,-10
2038,2038,0,-17
2039,2039,0,31
2040,2040,0,64
2041,2041,0,2
2042,2042,0,-58
2043,2043,0,-49
2044,2044,0,33
2045,2045,0,3
2046,2046,0,8
2047,2047,0,18
2048,2048,1,-26
2049,2049,0,-48
2050,2050,0,35
2051,2051,0,7
2052,2052,0,16
2053,2053,0,34
2054,2054,0,-58
2055,2055,0,-50
2056,2056,0,30
2057,2057,0,-4
2058,2058,0,-6
2059,2059,0,-9
2060,2060,0,-16
2061,2061,0,-30
2062,2062,0,68
2063,2063,0,10
2064,2064,0,-42
2065,2065,0,-19
2066,2066,0,-37
2067,2067,0,55
2068,2068,0,-16
2069,2069,0,-30
2070,2070,0,5
2071,2071,0,14
2072,2072,0,29
2073,2073,0,-2
2074,2074,0,-2
2075,2075,0,63
2076,2076,0,-64
2077,2077,0,65
2078,2078,0,-61
2079,2079,0,9
2080,2080,0,-43
2081,2081,0,-20
2082,2082,0,27
2083,2083,0,56
2084,2084,0,-14
2085,2085,0,-24
2086,2086,0,16
2087,2087,0,-31
2088,2088,0,4
2089,2089,0,9
2090,2090,0,-109
2091,2091,0,38
2092,2092,0,15
2093,2093,0,-31
2094,2094,0,4
2095,2095,0,12
2096,2096,0,92
2097,2097,0,-6
2098,2098,0,-11
2099,2099,0,43
2100,2100,0,-40
2101,2101,0,-77
2102,2102,0,-25
2103,2103,0,15
2104,2104,0,31
2105,2105,0,-1
2106,2106,0,-65
2107,2107,0,-2
2108,2108,0,-2
2109,2109,0,-2
2110,2110,0,-3
2111,2111,0,-5
2112,2112,0,57
2113,2113,0,-11
2114,2114,0,-21
2115,2115,0,24
2116,2116,0,50
2117,2117,0,-26
2118,2118,0,-50
2119,2119,0,31
2120,2120,0,0
2121,2121,0,2
2122,2122,0,5
2123,2123,0,12
2124,2124,0,-38
2125,2125,0,-10
2126,2126,0,-17
2127,2127,0,32
2128,2128,0,1
2129,2129,0,5
2130,2130,0,12
2131,2131,0,-37
2132,2132,0,-8
2133,2133,0,50
2134,2134,0,-28
2135,2135,0,10
2136,2136,0,-42
2137,2137,0,-19
2138,2138,0,-36
2139,2139,0,58
2140,2140,0,-10
2141,2141,0,-17
2142,2142,0,32
2143,2143,0,3
2144,2144,0,9
2145,2145,0,20
2146,2146,0,-21
2147,2147,0,25
2148,2148,0,-14
2149,2149,0,-26
2150,2150,0,13
2151,2151,0,-35
2152,2152,0,-69
2153,2153,0,56
2154,2154,0,-13
2155,2155,0,41
2156,2156,0,-43
2157,2157,0,45
2158,2158,0,28
2159,2159,0,-7
2160,2160,0,-14
2161,2161,0,-27
2162,2162,0,-51
2163,2163,0,-35
2164,2164,0,-5
2165,2165,0,56
2166,2166,0,51
2167,2167,0,-23
2168,2168,0,-42
2169,2169,0,46
2170,2170,0,30
2171,2171,0,0
2172,2172,0,1
2173,2173,0,-59
2174,2174,0,12
2175,2175,0,27
2176,2176,0,-73
2177,2177,0,48
2178,2178,0,-30
2179,2179,0,8
2180,2180,0,-46
2181,2181,0,37
2182,2182,0,12
2183,2183,0,26
2184,2184,0,-72
2185,2185,0,-13
2186,2186,0,41
2187,2187,0,20
2188,2188,0,42
2189,2189,0,-42
2190,2190,0,-16
2191,2191,0,-31
2192,2192,0,5
2193,2193,0,12
2194,2194,0,28
2195,2195,0,-70
2196,2196,0,55
2197,2197,0,-16
2198,2198,0,34
2199,2199,0,-57
2200,2200,0,17
2201,2201,0,-29
2202,2202,0,7
2203,2203,0,16
2204,2204,0,-29
2205,2205,0,-56
2206,2206,0,16
2207,2207,0,34
2208,2208,0,8
2209,2209,0,-48
2210,2210,0,-30
2211,2211,0,70
2212,2212,0,14
2213,2213,0,-98
2214,2214,0,63
2215,2215,0,1
2216,2216,0,5
2217,2217,0,10
2218,2218,0,20
2219,2219,0,-24
2220,2220,0,-44
2221,2221,0,-87
2222,2222,0,20
2223,2223,0,42
2224,2224,0,86
2225,2225,0,-82
2226,2226,0,29
2227,2227,0,-5
2228,2228,0,-8
2229,2229,0,-12
2230,2230,0,-22
2231,2231,0,21
2232,2232,0,42
2233,2233,0,23
2234,2234,0,-80
2235,2235,0,-30
2236,2236,0,6
2237,2237,0,77
2238,2238,0,-36
2239,2239,0,-6
2240,2240,0,-10
2241,2241,0,-18
2242,2242,0,30
2243,2243,0,-3
2244,2244,0,-5
2245,2245,0,-9
2246,2246,0,-16
2247,2247,0,-29
2248,2248,0,7
2249,2249,0,14
2250,2250,0,30
2251,2251,0,-2
2252,2252,0,-66
2253,2253,0,-2
2254,2254,0,62
2255,2255,0,-1
2256,2256,0,1
2257,2257,0,3
2258,2258,0,8
2259,2259,0,20
2260,2260,0,-20
2261,2261,0,-38
2262,2262,0,54
2263,2263,0,45
2264,2264,0,-35
2265,2265,0,-69
2266,2266,0,-8
2267,2267,0,-13
2268,2268,0,39
2269,2269,0,-47
2270,2270,0,36
2271,2271,0,10
2272,2272,0,-42
2273,2273,0,46
2274,2274,0,-34
2275,2275,0,-1
2276,2276,0,-2
2277,2277,0,0
2278,2278,0,3
2279,2279,0,7
2280,2280,0,-46
2281,2281,0,100
2282,2282,0,-54
2283,2283,0,-42
2284,2284,0,46
2285,2285,0,-97
2286,2286,0,64
2287,2287,0,2
2288,2288,0,7
2289,2289,0,17
2290,2290,0,-28
2291,2291,0,9
2292,2292,0,19
2293,2293,0,-23
2294,2294,0,-43
2295,2295,0,-20
2296,2296,0,25
2297,2297,0,51
2298,2298,0,-23
2299,2299,0,-42
2300,2300,0,-20
2301,2301,0,26
2302,2302,0,52
2303,2303,0,-22
2304,2304,0,-106
2305,2305,0,46
2306,2306,0,-34
2307,2307,0,62
2308,2308,0,0
2309,2309,0,2
2310,2310,0,6
2311,2311,0,14
2312,2312,0,30
2313,2313,0,-65
2314,2314,0,0
2315,2315,0,1
2316,2316,0,6
2317,2317,0,15
2318,2318,0,-32
2319,2319,0,3
2320,2320,0,71
2321,2321,0,-48
2322,2322,0,-30
2323,2323,0,7
2324,2324,0,-48
2325,2325,0,33
2326,2326,0,4
2327,2327,0,12
2328,2328,0,-39
2329,2329,0,-14
2330,2330,0,37
2331,2331,0,11
2332,2332,0,-105
2333,2333,0,-15
2334,2334,0,35
2335,2335,0,8
2336,2336,0,18
2337,2337,0,39
2338,2338,0,-47
2339,2339,0,34
2340,2340,0,6
2341,2341,0,15
2342,2342,0,-32
2343,2343,0,-64
2344,2344,0,66
2345,2345,0,6
2346,2346,0,-50
2347,2347,0,-32
2348,2348,0,66
2349,2349,0,7
2350,2350,0,18
2351,2351,0,37
2352,2352,0,-51
2353,2353,0,28
2354,2354,0,-7
2355,2355,0,-77
2356,2356,0,40
2357,2357,0,-45
2358,2358,0,-25
2359,2359,0,16
2360,2360,0,34
2361,2361,0,6
2362,2362,0,-49
2363,2363,0,31
2364,2364,0,0
2365,2365,0,3
2366,2366,0,8
2367,2367,0,-46
2368,2368,0,38
2369,2369,0,15
2370,2370,0,-34
2371,2371,0,-1
2372,2372,0,1
2373,2373,0,3
2374,2374,0,-56
2375,2375,0,82
2376,2376,0,-27
2377,2377,0,-52
2378,2378,0,26
2379,2379,0,-9
2380,2380,0,-14
2381,2381,0,37
2382,2382,0,11
2383,2383,0,24
2384,2384,0,-14
2385,2385,0,-91
2386,2386,0,12
2387,2387,0,26
2388,2388,0,-10
2389,2389,0,-19
2390,2390,0,28
2391,2391,0,-7
2392,2392,0,-13
2393,2393,0,-24
2394,2394,0,18
2395,2395,0,-26
2396,2396,0,14
2397,2397,0,31
2398,2398,0,-2
2399,2399,0,-2
2400,2400,0,-2
2401,2401,0,0
2402,2402,0,-64
2403,2403,0,66
2404,2404,0,6
2405,2405,0,15
2406,2406,0,-97
2407,2407,0,64
2408,2408,0,3
2409,2409,0,9
2410,2410,0,-45
2411,2411,0,41
2412,2412,0,19
2413,2413,0,-25
2414,2414,0,-47
2415,2415,0,35
2416,2416,0,-55
2417,2417,0,20
2418,2418,0,42
2419,2419,0,-43
2420,2420,0,43
2421,2421,0,-40
2422,2422,0,-14
2423,2423,0,-25
2424,2424,0,16
2425,2425,0,32
2426,2426,0,0
2427,2427,0,1
2428,2428,0,-60
2429,2429,0,-55
2430,2430,0,20
2431,2431,0,41
2432,2432,0,20
2433,2433,0,-21
2434,2434,0,24
2435,2435,0,-15
2436,2436,0,36
2437,2437,0,12
2438,2438,0,-38
2439,2439,0,-10
2440,2440,0,47
2441,2441,0,31
2442,2442,0,-65
2443,2443,0,0
2444,2444,0,3
2445,2445,0,-57
2446,2446,0,18
2447,2447,0,39
2448,2448,0,14
2449,2449,0,-35
2450,2450,0,59
2451,2451,0,-73
2452,2452,0,-80
2453,2453,0,35
2454,2454,0,9
2455,2455,0,21
2456,2456,0,43
2457,2457,0,22
2458,2458,0,-18
2459,2459,0,-35
2460,2460,0,-69
2461,2461,0,-8
2462,2462,0,49
2463,2463,0,-27
2464,2464,0,12
2465,2465,0,27
2466,2466,0,-10
2467,2467,0,46
2468,2468,0,-36
2469,2469,0,-7
2470,2470,0,-77
2471,2471,0,38
2472,2472,0,-48
2473,2473,0,36
2474,2474,0,11
2475,2475,0,24
2476,2476,0,116
2477,2477,0,-22
2478,2478,0,-41
2479,2479,0,-16
2480,2480,0,34
2481,2481,0,-58
2482,2482,0,14
2483,2483,0,-35
2484,2484,0,-4
2485,2485,0,-8
2486,2486,0,-13
2487,2487,0,-23
2488,2488,0,20
2489,2489,0,-22
2490,2490,0,86
2491,2491,0,-16
2492,2492,0,-30
2493,2493,0,8
2494,2494,0,17
2495,2495,0,36
2496,2496,0,-55
2497,2497,0,22
2498,2498,0,-84
2499,2499,0,24
2500,2500,0,-13
2501,2501,0,42
2502,2502,0,-105
2503,2503,0,47
2504,2504,0,95
2505,2505,0,2
2506,2506,0,-59
2507,2507,0,-53
2508,2508,0,24
2509,2509,0,51
2510,2510,0,-88
2511,2511,0,18
2512,2512,0,38
2513,2513,0,14
2514,2514,0,-34
2515,2515,0,-1
2516,2516,0,0
2517,2517,0,2
2518,2518,0,6
2519,2519,0,13
2520,2520,0,-35
2521,2521,0,-5
2522,2522,0,-8
2523,2523,0,-14
2524,2524,0,37
2525,2525,0,-52
2526,2526,0,26
2527,2527,0,-10
2528,2528,0,-18
2529,2529,0,31
2530,2530,0,-1
2531,2531,0,2
2532,2532,0,5
2533,2533,0,13
2534,2534,0,-36
2535,2535,0,57
2536,2536,0,-76
2537,2537,0,41
2538,2538,0,-42
2539,2539,0,-19
2540,2540,0,27
2541,2541,0,-9
2542,2542,0,48
2543,2543,0,-93
2544,2544,0,9
2545,2545,0,21
2546,2546,0,44
2547,2547,0,25
2548,2548,0,-13
2549,2549,0,-23
2550,2550,0,-45
2551,2551,0,-25
2552,2552,0,17
2553,2553,0,34
2554,2554,0,-59
2555,2555,0,12
2556,2556,0,27
2557,2557,0,-74
2558,2558,0,46
2559,2559,0,31
2560,2560,0,1
2561,2561,0,-61
2562,2562,0,71
2563,2563,0,16
2564,2564,0,-29
2565,2565,0,-55
2566,2566,0,20
2567,2567,0,42
2568,2568,0,22
2569,2569,0,-20
2570,2570,0,-37
2571,2571,0,-9
2572,2572,0,-17
2573,2573,0,-33
2574,2574,0,64
2575,2575,0,-63
2576,2576,0,3
2577,2577,0,8
2578,2578,0,19
2579,2579,0,-24
2580,2580,0,19
2581,2581,0,41
2582,2582,0,19
2583,2583,0,-25
2584,2584,0,17
2585,2585,0,-29
2586,2586,0,-57
2587,2587,0,14
2588,2588,0,29
2589,2589,0,-67
2590,2590,0,-5
2591,2591,0,-6
2592,2592,0,54
2593,2593,0,46
2594,2594,0,-34
2595,2595,0,61
2596,2596,0,-68
2597,2597,0,-6
2598,2598,0,-9
2599,2599,0,-17
2600,2600,0,32
2601,2601,0,0
2602,2602,0,2
2603,2603,0,-58
2604,2604,0,12
2605,2605,0,-40
2606,2606,0,51
2607,2607,0,-23
2608,2608,0,-43
2609,2609,0,45
2610,2610,0,91
2611,2611,0,-6
2612,2612,0,-12
2613,2613,0,-23
2614,2614,0,-44
2615,2615,0,41
2616,2616,0,-108
2617,2617,0,42
2618,2618,0,23
2619,2619,0,-17
2620,2620,0,33
2621,2621,0,5
2622,2622,0,12
2623,2623,0,-38
2624,2624,0,52
2625,2625,0,-22
2626,2626,0,-42
2627,2627,0,-19
2628,2628,0,-36
2629,2629,0,59
2630,2630,0,-9
2631,2631,0,-15
2632,2632,0,36
2633,2633,0,10
2634,2634,0,-42
2635,2635,0,47
2636,2636,0,-33
2637,2637,0,0
2638,2638,0,1
2639,2639,0,4
2640,2640,0,-54
2641,2641,0,22
2642,2642,0,-16
2643,2643,0,35
2644,2644,0,7
2645,2645,0,14
2646,2646,0,30
2647,2647,0,-67
2648,2648,0,-67
2649,2649,0,-6
2650,2650,0,55
2651,2651,0,-15
2652,2652,0,35
2653,2653,0,-57
2654,2654,0,79
2655,2655,0,-33
2656,2656,0,-63
2657,2657,0,4
2658,2658,0,11
2659,2659,0,24
2660,2660,0,51
2661,2661,0,-22
2662,2662,0,23
2663,2663,0,-16
2664,2664,0,34
2665,2665,0,7
2666,2666,0,-48
2667,2667,0,-29
2668,2668,0,8
2669,2669,0,17
2670,2670,0,-27
2671,2671,0,13
2672,2672,0,-36
2673,2673,0,-5
2674,2674,0,54
2675,2675,0,-16
2676,2676,0,-30
2677,2677,0,7
2678,2678,0,-48
2679,2679,0,97
2680,2680,0,-59
2681,2681,0,11
2682,2682,0,-41
2683,2683,0,-16
2684,2684,0,32
2685,2685,0,-63
2686,2686,0,4
2687,2687,0,10
2688,2688,0,-43
2689,2689,0,42
2690,2690,0,21
2691,2691,0,-22
2692,2692,0,-42
2693,2693,0,-17
2694,2694,0,32
2695,2695,0,1
2696,2696,0,67
2697,2697,0,6
2698,2698,0,-48
2699,2699,0,-28
2700,2700,0,8
2701,2701,0,18
2702,2702,0,102
2703,2703,0,-50
2704,2704,0,-97
2705,2705,0,66
2706,2706,0,8
2707,2707,0,17
2708,2708,0,37
2709,2709,0,14
2710,2710,0,-35
2711,2711,0,-68
2712,2712,0,58
2713,2713,0,-9
2714,2714,0,-80
2715,2715,0,33
2716,2716,0,5
2717,2717,0,13
2718,2718,0,-36
2719,2719,0,-6
2720,2720,0,55
2721,2721,0,-17
2722,2722,0,-32
2723,2723,0,4
2724,2724,0,10
2725,2725,0,-43
2726,2726,0,46
2727,2727,0,29
2728,2728,0,-68
2729,2729,0,-5
2730,2730,0,56
2731,2731,0,-78
2732,2732,0,39
2733,2733,0,17
2734,2734,0,-29
2735,2735,0,8
2736,2736,0,19
2737,2737,0,-24
2738,2738,0,-45
2739,2739,0,41
2740,2740,0,20
2741,2741,0,-22
2742,2742,0,22
2743,2743,0,-19
2744,2744,0,-37
2745,2745,0,-10
2746,2746,0,-18
2747,2747,0,-34
2748,2748,0,-1
2749,2749,0,-1
2750,2750,0,63
2751,2751,0,0
2752,2752,0,1
2753,2753,0,-60
2754,2754,0,9
2755,2755,0,18
2756,2756,0,-27
2757,2757,0,10
2758,2758,0,-43
2759,2759,0,-22
2760,2760,0,23
2761,2761,0,-15
2762,2762,0,35
2763,2763,0,7
2764,2764,0,82
2765,2765,0,-26
2766,2766,0,-50
2767,2767,0,30
2768,2768,0,63
2769,2769,0,-63
2770,2770,0,5
2771,2771,0,13
2772,2772,0,28
2773,2773,0,-4
2774,2774,0,-7
2775,2775,0,-12
2776,2776,0,-20
2777,2777,0,28
2778,2778,0,-71
2779,2779,0,53
2780,2780,0,43
2781,2781,0,-40
2782,2782,0,-78
2783,2783,0,39
2784,2784,0,-47
2785,2785,0,36
2786,2786,0,9
2787,2787,0,21
2788,2788,0,-20
2789,2789,0,-36
2790,2790,0,-6
2791,2791,0,55
2792,2792,0,-15
2793,2793,0,37
2794,2794,0,-54
2795,2795,0,23
2796,2796,0,-16
2797,2797,0,-32
2798,2798,0,-62
2799,2799,0,70
2800,2800,0,-50
2801,2801,0,-34
2802,2802,0,62
2803,2803,0,-1
2804,2804,0,1
2805,2805,0,4
2806,2806,0,10
2807,2807,0,22
2808,2808,0,-17
2809,2809,0,-32
2810,2810,0,1
2811,2811,0,4
2812,2812,0,9
2813,2813,0,-42
2814,2814,0,-19
2815,2815,0,29
2816,2816,0,-4
2817,2817,0,57
2818,2818,0,-76
2819,2819,0,43
2820,2820,0,-41
2821,2821,0,-17
2822,2822,0,31
2823,2823,0,0
2824,2824,0,-61
2825,2825,0,7
2826,2826,0,16
2827,2827,0,35
2828,2828,0,7
2829,2829,0,-47
2830,2830,0,38
2831,2831,0,14
2832,2832,0,-33
2833,2833,0,63
2834,2834,0,0
2835,2835,0,-63
2836,2836,0,5
2837,2837,0,-52
2838,2838,0,26
2839,2839,0,-9
